HID_No,Zone_ID,Sub_Region,Full_Name,Project,ZCU,HID_Type,Vehicle_Max
HID-OHT-131,ONC,1,HID-ONC(131),将来,,HID4,37
HID-OHT-128,OND,1,HID-OND(128),将来,,HID4,37
HID-OHT-126,ONE,1,HID-ONE(126),将来,,HID4,37
HID-OHT-124,ONF,1,HID-ONF(124),将来,,HID4,37
HID-OHT-122,ONG,1,HID-ONG(122),将来,,HID4,37
HID-OHT-103,OS1,1,HID-OS1(103),M14 Project Ph-1,ZC215A,HID4,37
HID-OHT-105,OS2,1,HID-OS2(105),M14 Project Ph-1,ZC222A,HID4,37
HID-OHT-108,OS3,1,HID-OS3(108),M14 Project Ph-1,ZC901A,HID4,37
HID-OHT-110,OS4,1,HID-OS4(110),M14 Project Ph-1,ZC905A,HID4,37
HID-OHT-112,OS5,1,HID-OS5(112),M14 Project Ph-1,ZC910A,HID4,37
HID-OHT-114,OS6,1,HID-OS6(114),M14 Project Ph-1,ZC913A,HID4,37
HID-OHT-104,OSA,1,HID-OSA(104),M14 Project Ph-1,ZC220A,HID4,37
HID-OHT-106,OSB,1,HID-OSB(106),M14 Project Ph-1,ZC224A,HID4,37
HID-OHT-107,OSC,1,HID-OSC(107),将来,,HID4,37
HID-OHT-109,OSD,1,HID-OSD(109),将来,,HID4,37
HID-OHT-111,OSE,1,HID-OSE(111),将来,,HID4,37
HID-OHT-113,OSG,1,HID-OSG(113),将来,,HID4,37
HID-OHT-115,OSI,1,HID-OSI(115),将来,,HID4,37
HID-OHT-134,OW1,1,HID-OW1(134),M14 Project Ph-1,ZC302A,HID4,37
HID-OHT-136,OW2,1,HID-OW2(136),M14 Project Ph-1,ZC502A,HID4,37
HID-OHT-135,OWA,1,HID-OWA(135),M14 Project Ph-1,ZC303A,HID4,37
HID-OHT-137,OWB,1,HID-OWB(137),M14 Project Ph-1,ZC501A,HID4,37
