Zone_ID,HID_No,Bay_Zone,Sub_Region,Full_Name,Territory,Type,IN_Count,OUT_Count,IN_Lanes,OUT_Lanes,Vehicle_Max,Vehicle_Precaution,Project,ZCU,HID_Type,HID_ID,Zone_ID2,Addr_No,Station_No
8,HID-OHT-008,B06,2,HID-B06-2(008),1,HID,4,5,3376→3377; 3477→3430; 6042→3388; 7780→3422,3413→3362; 3420→7784; 3445→3462; 3448→5685; 3453→6045,37,35,M14 Project Ph-1,ZC521A,HID4,4CSC0603_3,8,3448,2069
8,HID-OHT-008,B06,2,HID-B06-2(008),1,HID,4,5,3376→3377; 3477→3430; 6042→3388; 7780→3422,3413→3362; 3420→7784; 3445→3462; 3448→5685; 3453→6045,37,35,M14 Project Ph-1,ZC521A,HID4,4CSC0603_4,8,3448,2068
8,HID-OHT-008,B06,2,HID-B06-2(008),1,HID,4,5,3376→3377; 3477→3430; 6042→3388; 7780→3422,3413→3362; 3420→7784; 3445→3462; 3448→5685; 3453→6045,37,35,M14 Project Ph-1,ZC521A,HID4,4CWS0505_1,8,3362,1910
8,HID-OHT-008,B06,2,HID-B06-2(008),1,HID,4,5,3376→3377; 3477→3430; 6042→3388; 7780→3422,3413→3362; 3420→7784; 3445→3462; 3448→5685; 3453→6045,37,35,M14 Project Ph-1,ZC521A,HID4,4CWS0505_2,8,3362,1909
8,HID-OHT-008,B06,2,HID-B06-2(008),1,HID,4,5,3376→3377; 3477→3430; 6042→3388; 7780→3422,3413→3362; 3420→7784; 3445→3462; 3448→5685; 3453→6045,37,35,M14 Project Ph-1,ZC521A,HID4,4CWS0505_3,8,3362,1908
8,HID-OHT-008,B06,2,HID-B06-2(008),1,HID,4,5,3376→3377; 3477→3430; 6042→3388; 7780→3422,3413→3362; 3420→7784; 3445→3462; 3448→5685; 3453→6045,37,35,M14 Project Ph-1,ZC521A,HID4,4CWS0510_1,8,3376,35257
9,HID-OHT-009,B06,1,HID-B06-1(009),1,HID,4,4,3445→3462; 3544→3545; 6046→3454; 7776→3486,3477→3430; 3484→7779; 3511→3530; 3519→6050,37,35,M14 Project Ph-1,ZC530A,HID4,4AFZ08-230,9,3544,26091
9,HID-OHT-009,B06,1,HID-B06-1(009),1,HID,4,4,3445→3462; 3544→3545; 6046→3454; 7776→3486,3477→3430; 3484→7779; 3511→3530; 3519→6050,37,35,M14 Project Ph-1,ZC530A,HID4,4ANZ06-417,9,3430,25825
9,HID-OHT-009,B06,1,HID-B06-1(009),1,HID,4,4,3445→3462; 3544→3545; 6046→3454; 7776→3486,3477→3430; 3484→7779; 3511→3530; 3519→6050,37,35,M14 Project Ph-1,ZC530A,HID4,4ANZ07-217,9,3462,25917
9,HID-OHT-009,B06,1,HID-B06-1(009),1,HID,4,4,3445→3462; 3544→3545; 6046→3454; 7776→3486,3477→3430; 3484→7779; 3511→3530; 3519→6050,37,35,M14 Project Ph-1,ZC530A,HID4,4CDC0804_1,9,3544,2440
9,HID-OHT-009,B06,1,HID-B06-1(009),1,HID,4,4,3445→3462; 3544→3545; 6046→3454; 7776→3486,3477→3430; 3484→7779; 3511→3530; 3519→6050,37,35,M14 Project Ph-1,ZC530A,HID4,4DWI0803_1,9,3530,2396
9,HID-OHT-009,B06,1,HID-B06-1(009),1,HID,4,4,3445→3462; 3544→3545; 6046→3454; 7776→3486,3477→3430; 3484→7779; 3511→3530; 3519→6050,37,35,M14 Project Ph-1,ZC530A,HID4,4EAM0701_2,9,3462,2213
