_time,VEHICLE,HID
2026-04-21 14:01:40.129+0900,BV0209,10681
2026-04-21 14:01:40.487+0900,BV0069,11101
2026-04-21 14:01:40.541+0900,BV0197,10721
2026-04-21 14:01:41.460+0900,BV0215,33
2026-04-21 14:01:41.812+0900,BV0194,33
2026-04-21 14:01:42.249+0900,BV0197,10721
2026-04-21 14:01:42.553+0900,BV0069,11101
2026-04-21 14:01:42.848+0900,BV0331,34
2026-04-21 14:01:43.230+0900,BV0127,33
2026-04-21 14:01:43.260+0900,BV0197,10721
2026-04-21 14:01:43.271+0900,BV0360,10811
2026-04-21 14:01:44.699+0900,BV0212,10651
2026-04-21 14:01:45.013+0900,BV0387,10771
2026-04-21 14:01:45.315+0900,BV0363,10611
2026-04-21 14:01:45.315+0900,BV0363,3
2026-04-21 14:01:45.660+0900,BV0127,33
2026-04-21 14:01:45.950+0900,BV0197,10721
2026-04-21 14:01:46.439+0900,BV0140,10681
2026-04-21 14:01:46.454+0900,BV0360,10781
2026-04-21 14:01:47.506+0900,BV0315,11091
2026-04-21 14:01:47.973+0900,BV0117,34
2026-04-21 14:01:48.769+0900,BV0161,33
2026-04-21 14:01:49.734+0900,BV0220,11082
2026-04-21 14:01:50.327+0900,BV0161,33
2026-04-21 14:01:50.358+0900,BV0197,10721
2026-04-21 14:01:50.402+0900,BV0177,10851
2026-04-21 14:01:51.670+0900,BV0197,10721
2026-04-21 14:01:52.003+0900,BV0077,34
2026-04-21 14:01:52.417+0900,BV0333,11082
2026-04-21 14:01:52.669+0900,BV0140,10711
2026-04-21 14:01:52.709+0900,BV0098,33
2026-04-21 14:01:52.935+0900,BV0197,10721
2026-04-21 14:01:53.353+0900,BV0231,3
2026-04-21 14:01:53.467+0900,BV0304,10721
2026-04-21 14:01:53.956+0900,BV0223,11121
2026-04-21 14:01:54.487+0900,BV0098,33
2026-04-21 14:01:54.869+0900,BV0205,10711
2026-04-21 14:01:54.871+0900,BV0170,33
2026-04-21 14:01:54.897+0900,BV0151,11082
2026-04-21 14:01:54.957+0900,BV0332,11091
2026-04-21 14:01:55.270+0900,BV0173,10721
2026-04-21 14:01:55.285+0900,BV0242,10681
2026-04-21 14:01:55.556+0900,BV0347,34
2026-04-21 14:01:55.890+0900,BV0151,11082
2026-04-21 14:01:55.896+0900,BV0069,11111
2026-04-21 14:01:55.914+0900,BV0175,10611
2026-04-21 14:01:55.922+0900,BV0092,3
2026-04-21 14:01:55.922+0900,BV0092,10641
2026-04-21 14:01:55.931+0900,BV0197,10711
2026-04-21 14:01:56.276+0900,BV0151,11082
2026-04-21 14:01:56.715+0900,BV0327,10811
2026-04-21 14:01:56.815+0900,BV0150,10711
2026-04-21 14:01:57.193+0900,BV0327,10811
2026-04-21 14:01:57.451+0900,BV0124,10781
2026-04-21 14:01:57.484+0900,BV0151,11082
2026-04-21 14:01:57.759+0900,BV0209,10631
2026-04-21 14:01:57.770+0900,BV0127,10781
2026-04-21 14:01:57.770+0900,BV0127,34
2026-04-21 14:01:57.774+0900,BV0170,33
2026-04-21 14:01:57.801+0900,BV0327,10811
2026-04-21 14:01:58.974+0900,BV0109,10641
2026-04-21 14:01:59.492+0900,BV0205,10631
2026-04-21 14:01:59.512+0900,BV0151,11082
